CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2013-1-1,12,9,6,8,7,5,93,86,76,1022,1017,1014,31,10,5,26,14,,5.08,7,Rain,234
2013-1-2,9,7,4,6,4,2,93,86,71,1035,1028,1022,31,11,10,23,16,,0.00,5,,298
2013-1-3,8,4,0,4,2,-1,100,87,69,1042,1039,1035,19,10,10,13,5,,0.00,5,,118
2013-1-4,7,6,5,7,6,4,100,94,83,1042,1039,1037,10,6,1,10,5,,0.00,8,Fog,292
2013-1-5,7,6,5,6,6,4,100,94,90,1038,1035,1034,11,9,2,16,8,,0.00,8,,306
2013-1-6,5,4,4,4,4,3,100,92,85,1035,1032,1029,19,9,3,11,8,,0.00,8,,306
2013-1-7,4,3,3,4,3,2,100,96,92,1030,1028,1026,10,5,1,11,6,,0.00,8,Fog,324
2013-1-8,5,3,2,3,2,1,100,91,84,1031,1029,1028,31,10,6,11,6,,0.00,8,Rain,289
2013-1-9,5,4,4,3,2,2,93,86,79,1028,1024,1022,31,11,6,8,3,,0.00,8,,63
2013-1-10,12,8,4,10,6,3,94,86,77,1024,1022,1019,26,10,6,32,10,,0.76,7,Rain,255
2013-1-11,11,7,2,7,4,0,87,78,54,1025,1023,1020,31,10,6,34,18,,0.00,5,Rain,282
2013-1-12,11,6,0,6,2,-1,93,85,62,1021,1016,1012,31,10,6,24,6,,0.00,7,Rain,178
2013-1-13,7,6,4,5,4,2,100,91,81,1017,1012,1010,23,10,6,27,10,,10.92,7,Rain,270
2013-1-14,4,2,1,4,0,-4,93,76,56,1020,1017,1016,31,11,8,32,19,,0.00,7,,294
2013-1-15,8,4,1,5,1,-2,93,76,50,1015,1012,1008,10,9,3,37,18,,4.06,6,Rain,278
2013-1-16,3,2,1,2,1,0,100,91,71,1014,1007,1001,11,7,2,19,13,,19.05,8,Rain-Snow,15
2013-1-17,2,-1,-3,-1,-3,-5,93,80,65,1017,1014,1009,18,10,7,23,13,,0.00,5,,314
2013-1-18,5,1,-3,4,-1,-5,100,87,75,1014,1004,994,10,8,3,24,6,27,2.03,8,Rain-Snow,136
2013-1-19,9,6,3,7,5,2,93,91,82,996,985,979,14,9,5,34,19,,0.51,8,Rain,139
2013-1-20,5,2,0,7,2,-1,100,85,67,1001,994,981,14,8,1,42,19,66,6.10,7,Fog-Rain-Snow,266
2013-1-21,8,4,1,4,2,-1,93,83,68,1009,1003,998,31,10,5,40,18,61,2.03,6,Rain,239
2013-1-22,8,3,-2,3,1,-2,93,82,48,1010,1004,1002,26,11,10,16,8,,0.25,6,Rain,126
2013-1-23,8,4,1,5,2,0,93,83,70,1010,1006,1003,31,11,10,34,14,,0.51,7,Rain,263
2013-1-24,6,3,2,3,2,1,100,86,71,1016,1008,1003,31,10,5,29,10,,3.05,7,Rain,298
2013-1-25,4,2,-1,1,0,-2,100,85,65,1019,1016,1011,23,10,3,24,14,,0.00,6,,299
2013-1-26,8,3,-1,8,4,-2,100,91,81,1022,1014,1008,26,8,0,32,11,,0.51,7,Fog-Rain-Snow,252
2013-1-27,8,4,0,7,3,0,100,92,81,1020,1014,1010,19,7,0,34,6,50,1.02,7,Fog-Rain,160
2013-1-28,12,9,5,8,6,4,93,83,70,1026,1022,1016,26,10,10,29,19,,5.08,6,Rain,266
2013-1-29,13,8,3,8,4,2,93,80,58,1027,1026,1025,31,10,3,10,5,,0.00,5,Fog,152
2013-1-30,18,11,3,10,6,1,93,75,48,1029,1025,1023,26,10,7,19,5,,0.00,4,Rain,197
2013-1-31,17,12,7,12,10,6,100,85,57,1030,1028,1026,26,10,0,21,6,,0.00,7,Fog-Rain,249
2013-2-1,17,13,11,12,9,7,100,79,55,1026,1015,1005,31,10,6,27,8,,0.25,7,Rain,224
2013-2-2,8,6,4,8,3,-1,93,80,66,1020,1010,1003,31,11,6,47,31,60,0.76,6,Rain,300
2013-2-3,6,3,1,-1,-2,-3,81,67,51,1031,1027,1020,31,10,10,39,29,,0.00,4,,282
2013-2-4,12,8,3,10,6,-2,94,82,50,1031,1027,1026,19,10,1,24,16,,2.03,7,Rain,255
2013-2-5,13,9,5,9,6,1,94,81,53,1026,1021,1015,26,10,1,58,24,95,2.03,7,Rain-Thunderstorm,269
2013-2-6,8,6,3,4,3,2,93,84,71,1015,1011,1008,19,10,3,40,26,108,11.94,6,Rain-Thunderstorm,271
2013-2-7,7,4,2,3,-1,-3,93,71,47,1023,1020,1014,31,11,10,39,27,,0.00,7,Rain,301
2013-2-8,4,3,1,2,1,-1,93,85,76,1021,1017,1015,31,11,6,19,11,,1.02,7,Rain,293
2013-2-9,6,3,1,4,1,-2,93,83,46,1024,1022,1019,19,10,6,27,18,,0.51,7,Rain,285
